Year,GDP Per Capita
2008-12-31,6724.7797002686
2007-12-31,6303.0241637169
2006-12-31,6047.5622034752
2005-12-31,5575.3727794312
2004-12-31,5168.7086009683
2003-12-31,4802.8430611611
2002-12-31,4197.1454233052
2001-12-31,3758.9314777686
2000-12-31,3420.8657223527
1999-12-31,3162.2338323748
1998-12-31,2993.1936856599
1997-12-31,3013.3504054631
1996-12-31,2891.9888300275
1995-12-31,2863.4848176752
1994-12-31,2514.6601668855
1993-12-31,2311.8224092869
1992-12-31,2132.175935861
1991-12-31,1967.1822589896
1990-12-31,1870.9302888956
1989-12-31,1834.1867429491
1988-12-31,1830.0373083522
1987-12-31,1737.0536929158
1986-12-31,1597.0059711846
1985-12-31,1519.1534099559
1984-12-31,1395.8594748391
1983-12-31,1257.7436655174
1982-12-31,1186.053718905
1981-12-31,1110.19347776
1980-12-31,1061.0526530342
1979-12-31,1039.409497371
1978-12-31,977.95150418599
1977-12-31,893.62714702874
1976-12-31,852.67088219967
1975-12-31,871.1810954883
1974-12-31,835.14633198201
1973-12-31,838.39490214754
1972-12-31,798.33184459938
1971-12-31,794.96139007615
1970-12-31,778.35185716992
1969-12-31,712.97383876135
1968-12-31,674.91446204697
1967-12-31,706.92068120072
1966-12-31,746.31629045417
1965-12-31,701.5932940428
1964-12-31,644.81817986554
1963-12-31,590.29069298805
1962-12-31,550.43783889331
1961-12-31,552.89325034452
1960-12-31,662.14040505494
1959-12-31,686.38974181876
1958-12-31,690.37482682342
1957-12-31,635.99139013003
1956-12-31,616.11192907082
1955-12-31,576.53021826815
1954-12-31,556.93672204398
1953-12-31,552.17668002546
1952-12-31,537.61403385421
1951-12-31,491.01851187487
1950-12-31,448.0217258122
1938-12-31,562.30811787991
1937-12-31,579.74894250352
1936-12-31,597.35726702352
1935-12-31,564.82786190955
1934-12-31,525.40889186872
1933-12-31,578.608
1932-12-31,582.91339836029
1931-12-31,569.16409548555
1930-12-31,567.62167689162
1929-12-31,562.49781949749
1913-12-31,552.29674703756
1900-12-31,545.385
1890-12-31,540.47105263158
1870-12-31,530.0
1850-12-31,600.0
1820-12-31,600.0
1700-12-31,600.0
1600-12-31,600.0
1500-12-31,600.0
1000-12-31,466.0
0001-12-31,450.0
